type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
simple,simple,279934,48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),168.000,200.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:90%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.5</div></div>",0,https://www.fahasa.com/48-nguyen-tac-chu-chot-cua-quyen-luc-tai-ban-2020.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_32101.jpg,16.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">16%</span></div>",,,
simple,simple,443356,MBA Bằng Hình - The Usual MBA,154.980,189.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/mba-bang-hinh-the-usual-mba.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935235238978.jpg,18.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",,,
simple,simple,390638,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới? (Tái bản 2022),107.250,165.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/chien-tranh-tien-te-phan-1-ai-thuc-su-la-nguoi-giau-nhat-the-gioi-tai-ban-2022.html,https://cdn0.fahasa.com/media/catalog/product/b/i/bia-truoc-chien-tranh-tien-te-phan-1-1.jpg,35.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">35%</span></div>",Tập 1,,
simple,simple,293413,Tư Duy Ngược Dịch Chuyển Thế Giới - Originals: How Non-Conformists Move The World,142.400,178.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/tu-duy-nguoc-dich-chuyen-the-gioi-originals-how-non-conformists-move-the-world.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935086852118.jpg,20.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">20%</span></div>",,,
simple,simple,410521,Biến Mọi Thứ Thành Tiền - Make Money,84.000,168.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/bien-moi-thu-thanh-tien-make-money.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043654370.jpg,50.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">50%</span></div>",Tập 1,,
simple,simple,275614,Một Đời Quản Trị (Tái Bản 2019),168.000,200.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:87%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.4</div></div>",0,https://www.fahasa.com/mot-doi-quan-tri-tai-ban-2019.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8934974164623.jpg,16.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">16%</span></div>",,,
simple,simple,369493,Bí Mật Tư Duy Triệu Phú (Tái Bản 2021),86.400,108.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/bi-mat-tu-duy-trieu-phu-tai-ban-2021.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_188995_1_1.jpg,20.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">20%</span></div>",,,
simple,simple,236667,Nghệ Thuật Tư Duy Chiến Lược,155.400,239.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/nghe-thuat-tu-duy-chien-luoc.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_183396.jpg,34.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">34%</span></div>",,,
simple,simple,351531,Từ Tốt Đến Vĩ Đại - Jim Collins (Tái Bản 2021),109.200,130.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/tu-tot-den-vi-dai-jim-collins-tai-ban-2021.html,https://cdn0.fahasa.com/media/catalog/product/n/x/nxbtre_full_09462021_024609.jpg,16.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">16%</span></div>",,,
simple,simple,428426,Tài Chính Cá Nhân Dành Cho Người Việt Nam (Tái Bản 2023),148.000,200.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/tai-chinh-ca-nhan-danh-cho-nguoi-viet-nam-tang-kem-khoa-hoc-online-lam-minh-chanh-2023.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043905113.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",,,
