type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode
simple,simple,542971,Góc Nhỏ Có Nắng,57.120,68.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/goc-nho-co-nang.html,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-in-g_c-nh_-c_-n_ng.jpg,16,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">16%</span></div>",
simple,simple,398576,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản 2022),70.400,88.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/to-binh-yen-ve-hanh-phuc-tai-ban-2022.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935325006289.jpg,20,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">20%</span></div>",
simple,simple,443725,999 Lá Thư Gửi Cho Chính Mình - Tô Màu Cuộc Sống,76.230,99.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/999-la-thu-gui-cho-chinh-minh-to-mau-cuoc-song.html,https://cdn0.fahasa.com/media/catalog/product/9/9/999-l_-th_-g_i-cho-ch_nh-m_nh-_-t_-m_u-cu_c-s_ng.jpg,23,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",
simple,simple,445719,Trốn Lên Mái Nhà Để Khóc - Tặng Kèm Bookmark,76.000,95.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/tron-len-mai-nha-de-khoc-tang-kem-bookmark.html,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-tr_n-l_n-m_i-nh_-_-kh_c-2.jpg,20,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">20%</span></div>",
simple,simple,290715,Trường Ca Achilles,127.920,156.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:99%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/truong-ca-achilles.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_41170.jpg,18,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",
simple,simple,404720,Lén Nhặt Chuyện Đời,42.500,85.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/len-nhat-chuyen-doi-404720.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043651591_1.jpg,50,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">50%</span></div>",
bundle,bundle,595138,Phá Đảo Dị Giới Cùng Nữ Thần Không Tín Đồ - Tập 4 - Vu Nữ Chết Chóc Của Tàn Quốc - Bản Đặc Biệt - Tặng Kèm Bookmark + Poster A3 + Móc Khóa,130.500,145.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",1,https://www.fahasa.com/pha-dao-di-gioi-cung-nu-than-khong-tin-do-tap-4-vu-nu-chet-choc-cua-tan-quoc-ban-dac-biet-tang-kem-bookmark-poster-a3-moc-khoa.html,https://cdn0.fahasa.com/media/catalog/product/z/6/z6014704117221_2c2517961ba895250b55c4de99587028.jpg,10,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">10%</span></div>",
simple,simple,517713,Nếu Biết Trăm Năm Là Hữu Hạn - Ấn Bản Kỉ Niệm 10 Năm Xuất Bản (Tái Bản 2024),138.330,159.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/neu-biet-tram-nam-la-huu-han-an-ban-ki-niem-10-nam-xuat-ban-tai-ban-2024.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8932000134749_1.jpg,13,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">13%</span></div>",Tập 10
simple,simple,285358,Nhà Giả Kim (Tái Bản 2020),64.780,79.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:99%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/nha-gia-kim-tai-ban-2020.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_36793.jpg,18,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",
simple,simple,594739,Hội Chứng Tuổi Thanh Xuân - Tập 11 - Bản Giới Hạn - Tặng Kèm Standee Ivory + Video Card,105.000,105.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/hoi-chung-tuoi-thanh-xuan-tap-11-ban-gioi-han-tang-kem-standee-ivory-video-card.html,https://cdn0.fahasa.com/media/catalog/product/h/o/hoi-chung-tuoi-thanh-xuan_tap-11_ban-gioi-han.jpg,0,,
