type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
simple,simple,400520,Lược Sử Nước Việt Bằng Tranh (Tái Bản 2022),121.800,140.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",1,https://www.fahasa.com/luoc-su-nuoc-viet-bang-tranh-tai-ban-2022.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244874389.jpg,13.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">13%</span></div>",,,
simple,simple,287910,Búp Sen Xanh (Tái Bản 2020),62.640,72.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:100%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/bup-sen-xanh-tai-ban-2020.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244826487.jpg,13.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">13%</span></div>",,,
simple,simple,430321,Hoàng Tử Bé (Song Ngữ Việt-Anh),60.830,79.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/hoang-tu-be-song-ngu-viet-anh.html,https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1_6_6.jpg,23.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",,,
simple,simple,298656,100 Kỹ Năng Sinh Tồn,74.250,99.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:96%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.8</div></div>",0,https://www.fahasa.com/100-ky-nang-sinh-ton.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_46272.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",,,
simple,simple,241119,Lược Sử Nước Việt Bằng Tranh - Viet Nam - A Brief History In Pictures - Bìa Cứng (Tái Bản 2019),170.520,196.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/luoc-su-nuoc-viet-bang-tranh-viet-nam-a-brief-history-in-pictures-bia-cung-tai-ban-2019.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244823387.jpg,13.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">13%</span></div>",,,
simple,simple,242972,Tuổi Thơ Dữ Dội - Tập 2 (Tái Bản 2019),61.600,80.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:97%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>4.9</div></div>",0,https://www.fahasa.com/tuoi-tho-du-doi-tap-2-tai-ban-2019.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_187163.jpg,23.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",Tập 2,,
simple,simple,242971,Tuổi Thơ Dữ Dội - Tập 1 (Tái Bản 2019),61.600,80.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:99%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/tuoi-tho-du-doi-tap-1-tai-ban-2019.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_187162.jpg,23.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",Tập 1,,
series,series,395949,Tuổi Thơ Dữ Dội,,,,,https://www.fahasa.com/seriesbook-index-series-id-997989.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_187163_thanh_ly.jpg,,,Tập mới nhất: 65,997989,4229
bundle,bundle,278727,Combo Tuổi Thơ Dữ Dội - Tập 1 Và 2 (Tái Bản 2019) (Bộ 2 Tập),112.896,160.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:99%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star active'></div><div class='rating-links'>5.0</div></div>",0,https://www.fahasa.com/combo-tuoi-tho-du-doi-tap-1-va-2-tai-ban-2019-bo-2-tap.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-8935244827972-8935244827989.jpg,29.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">29%</span></div>",Tập 1+2,,
simple,simple,416889,Những Câu Chuyện Tò Mò Của Bé - Con Có Thể Đánh Trả Khi Bị Bắt Nạt Không?,21.000,28.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/nhung-cau-chuyen-to-mo-cua-be-con-co-the-danh-tra-khi-bi-bat-nat-khong.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935212361910.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",,,
