type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode
simple,simple,446667,Manifest - 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,68.530,89.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/manifest-7-buoc-de-thay-doi-cuoc-doi-ban-mai-mai.html,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-tr_c-manifest.jpg,23,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",
simple,simple,420579,30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,103.950,135.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/30-tuoi-moi-thu-chi-moi-bat-dau.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8935278605546.jpg,23,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",
simple,simple,425978,Atomic Habits - Thay Đổi Tí Hon Hiệu Quả Bất Ngờ (Tái Bản 2023),154.980,189.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/thay-doi-ti-hon-hieu-qua-bat-ngo-tbl6.html,https://cdn0.fahasa.com/media/catalog/product/_/2/_2024_-thay_doi_ti_hon_hieu_qua_bat_ngo-tb8-02.jpg,18,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">18%</span></div>",
simple,simple,399360,Tư Duy Ngược,69.500,139.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/tu-duy-nguoc.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043440287.jpg,50,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">50%</span></div>",
simple,simple,485940,Con Đường Chẳng Mấy Ai Đi,115.500,165.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/con-duong-chang-may-ai-di.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786044009674.jpg,30,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">30%</span></div>",
simple,simple,439259,Tư Duy Mở,69.000,138.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/tu-duy-mo.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786044742250.jpg,50,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">50%</span></div>",
simple,simple,416899,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ (Tái Bản)",145.530,189.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/noi-chuyen-la-ban-nang-giu-mieng-la-tu-duong-im-lang-la-tri-tue-416899.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8936066694469.jpg,23,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",
bundle,bundle,552828,Combo Sách Tư Duy Ngược + Tư Duy Mở (Bộ 2 Cuốn),135.730,277.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-tu-duy-nguoc-tu-duy-mo-bo-2-cuon.html,https://cdn0.fahasa.com/media/catalog/product/c/o/combo-9786043440287-9786044742250.jpg,51,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">51%</span></div>",
simple,simple,559174,"Stop Overthinking - Sống Tự Do, Không Âu Lo - 7 Bước Loại Bỏ Suy Nghĩ Tiêu Cực Và Bắt Đầu Suy Nghĩ Tích Cực",73.150,95.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/stop-overthinking-song-tu-do-khong-au-lo-7-buoc-loai-bo-suy-nghi-tieu-cuc-va-bat-dau-suy-nghi-tich-cuc.html,https://cdn0.fahasa.com/media/catalog/product/8/9/8936225390027.jpg,23,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">23%</span></div>",
simple,simple,420960,Hiểu Về Trái Tim (Tái Bản 2023),142.200,158.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/hieu-ve-trai-tim-tai-ban-2023.html,https://cdn0.fahasa.com/media/catalog/product/z/4/z4118763446785_cf4bc22d353b065bbb37e686de1f9207.jpg,10,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">10%</span></div>",
